code,district,population,male,Age 15-24,Age 25-44,Age 45-64,Age >65,Median Age,Degree,Monthly Income <6000,Monthly Income 6000-9999,Monthly Income 10000-19999,Monthly Income 20000-29999,Monthly Income 30000-39999,Monthly Income 40000-59999,Monthly Income >60000,Median Income,HKI,KL,NT Urban,NT Rural
A01,Chung Wan,11077,4790,455,3787,3589,2190,46.1,4523,523,246,632,410,352,692,1925,45160,1,0,0,0
A02,Mid Levels East,15464,5949,981,5328,4441,3010,44,7392,515,286,666,472,334,773,3228,61130,1,0,0,0
A03,Castle Road,19279,7711,1179,6970,5982,2806,42.1,9609,309,156,379,302,214,444,4370,103350,1,0,0,0
A04,Peak,19202,6625,1633,6457,6512,2200,42.6,9202,190,150,310,283,93,291,3753,155010,1,0,0,0
A05,University,18548,7409,1287,5515,5830,3713,45.9,8411,385,193,417,487,320,404,3294,82380,1,0,0,0
A06,Kwun Lung,15570,6751,1399,4620,4745,3466,47.5,3584,733,728,774,875,731,1087,1153,28920,1,0,0,0
A07,Kennedy Town & Mount Davis,16030,7296,1048,4996,5187,2879,45.2,5377,419,291,741,700,519,1102,2404,47540,1,0,0,0
A08,Sai Wan,14650,6763,1010,4797,4444,2901,45.2,4530,681,270,793,613,573,837,1999,37040,1,0,0,0
A09,Belcher,20187,8664,1284,6034,6263,3929,45.3,7136,699,282,710,784,660,995,2864,45170,1,0,0,0
A10,Shek Tong Tsui,16125,7038,1251,4929,4753,3784,46.6,4121,709,464,1222,977,866,972,1211,28570,1,0,0,0
A11,Sai Ying Pun,13600,5631,1162,4351,3656,3364,46.4,4034,722,365,939,641,897,876,1257,31650,1,0,0,0
A12,Sheung Wan,14830,6165,1248,5356,4118,2788,43.1,4858,694,279,728,830,539,904,2388,41040,1,0,0,0
A13,Tung Wah,12320,5389,664,4388,3830,2417,45.7,5486,688,230,586,435,552,663,2351,50040,1,0,0,0
A14,Centre Street,14521,5928,1148,4783,4293,3203,45.9,5228,705,288,715,704,830,1033,1714,35040,1,0,0,0
A15,Water Street,14550,6173,1030,5456,3891,2841,42.7,5760,790,325,616,735,720,706,2241,37700,1,0,0,0
B01,Hennessy,11220,4824,596,3867,3010,2627,45.3,3059,605,322,484,719,714,872,1176,35250,1,0,0,0
B02,Oi Kwan,12439,5260,597,3765,3932,3057,49.7,3964,702,423,581,826,418,595,1597,30150,1,0,0,0
B03,Canal Road,11992,5112,933,3778,3796,2383,45.9,3237,496,343,1143,886,473,833,997,28040,1,0,0,0
B04,Causeway Bay,13050,5345,873,3983,3563,3349,47.3,4382,682,304,886,682,454,655,1537,30200,1,0,0,0
B05,Victoria Park,13521,5679,1146,3937,3992,3139,46.8,5132,699,243,537,399,446,985,1925,46640,1,0,0,0
B06,Tin Hau,14527,6047,882,3713,4842,3719,49.4,4275,345,532,1104,509,465,420,1784,31170,1,0,0,0
B07,Tai Hang,11425,4801,518,3986,3515,2190,45,5181,407,267,468,488,388,484,2066,50000,1,0,0,0
B08,Jardine's Lookout,14459,5385,1012,4120,4900,2994,47.5,6540,225,114,208,189,154,236,2781,122040,1,0,0,0
B09,Broadwood,12958,4966,839,4356,3535,2469,42.6,5812,378,109,194,101,198,263,2543,98190,1,0,0,0
B10,Happy Valley,13248,5195,510,4848,3782,2495,44.2,5917,668,336,597,336,554,621,2480,50040,1,0,0,0
B11,Stubbs Road,14245,5172,702,4557,4782,2729,46.5,6196,179,154,175,183,236,276,2767,99100,1,0,0,0
B12,Southorn,13294,4946,739,5022,3980,2229,43.8,5464,520,256,656,321,322,675,2775,60000,1,0,0,0
B13,Tai Fat Hau,10317,4343,560,3928,3003,1999,44.3,4386,570,302,656,531,398,684,1841,40100,1,0,0,0
C01,Tai Koo Shing West,17365,7297,1217,4981,5348,3788,46.3,7328,287,197,526,536,476,526,3077,69280,1,0,0,0
C02,Tai Koo Shing East,18008,7353,1209,4609,6171,4120,48.7,7729,691,273,594,616,479,681,2781,50300,1,0,0,0
C03,Lei King Wan,20189,8773,1350,5670,6600,4098,47.1,6417,995,552,1513,827,660,870,2535,30100,1,0,0,0
C04,Sai Wan Ho,18771,8143,1102,5725,5909,4208,48,4963,997,505,1078,820,856,1209,1915,31970,1,0,0,0
C05,Aldrich Bay,17925,8040,1315,4320,6088,4716,51.1,2985,676,905,1202,1100,852,827,1008,23420,1,0,0,0
C06,Shaukeiwan,13442,5964,977,3811,4441,3049,49,3048,713,401,719,735,482,982,1201,30080,1,0,0,0
C07,A Kung Ngam,18858,8569,1511,4406,6621,4561,50,3325,620,671,951,1195,927,1263,1060,29000,1,0,0,0
C08,Heng Fa Chuen,18397,8026,1418,4686,6627,3775,49.2,7076,495,236,720,505,401,1004,2918,52700,1,0,0,0
C09,Tsui Wan,11801,5502,776,3299,3974,2661,49.3,1834,409,242,833,583,595,867,662,30190,1,0,0,0
C10,Yan Lam,15801,6639,1078,4392,5636,2577,46.3,5084,499,193,511,402,602,847,2136,46070,1,0,0,0
C11,Siu Sai Wan,12447,6048,789,3744,3594,3398,50.4,1272,356,349,956,618,537,748,404,24600,1,0,0,0
C12,King Yee,14608,6515,1244,3290,5812,3327,53.5,3049,460,276,625,726,624,1028,1176,35190,1,0,0,0
C13,Wan Tsui,14521,7043,1055,3790,4966,3593,51.3,1269,495,637,1323,1044,695,831,324,21340,1,0,0,0
C14,Fei Tsui,14323,6340,1282,3369,4772,3760,51.3,1557,829,765,1414,862,722,624,339,18100,1,0,0,0
C15,Mount Parker,12348,5528,796,3352,4015,3089,48.7,2821,668,293,975,716,527,620,907,23840,1,0,0,0
C16,Braemar Hill,16171,6263,846,4849,5054,3137,45.4,7143,362,86,161,218,276,530,2926,85220,1,0,0,0
C17,Fortress Hill,15464,6109,917,4377,5005,3442,47.6,5658,427,238,547,453,444,688,2315,50950,1,0,0,0
C18,City Garden,15212,6385,910,4114,4731,3698,48,5334,622,291,683,715,461,635,1846,34950,1,0,0,0
C19,Provident,18697,7842,1185,5662,5043,4995,48,5240,1017,403,1055,978,866,984,1557,29560,1,0,0,0
C20,Fort Street,14489,6580,990,4520,4195,3025,44.9,3762,804,364,921,712,679,794,1353,30000,1,0,0,0
C21,Kam Ping,15812,6883,888,4182,4926,4218,49.8,4036,606,415,917,796,730,744,1497,31940,1,0,0,0
C22,Tanner,16669,6971,927,4811,4902,4163,46.9,6200,720,461,543,598,537,920,2349,43710,1,0,0,0
C23,Healthy Village,14512,6549,1080,3775,5142,3510,50.5,3967,491,452,930,809,484,657,1667,31060,1,0,0,0
C24,Quarry Bay,11198,4861,676,3010,3572,2940,49.9,3115,634,308,693,584,492,789,1075,30140,1,0,0,0
C25,Nam Fung,13342,6011,736,3631,4093,3619,49.3,4693,613,294,540,559,507,577,1897,39640,1,0,0,0
C26,Kornhill,14215,6060,937,3705,4795,3096,47.9,6048,449,150,487,302,283,649,2537,60660,1,0,0,0
C27,Kornhill Garden,13083,5560,733,3595,4514,2846,49,4251,494,291,804,421,346,724,1700,40040,1,0,0,0
C28,Hing Tung,16972,7601,1282,4049,5661,4575,52.6,2924,757,686,1049,889,812,941,843,25090,1,0,0,0
C29,Lower Yiu Tung,15027,7125,920,4251,4713,3664,49.4,3051,626,484,970,1013,526,922,1081,27000,1,0,0,0
C30,Upper Yiu Tung,13159,6565,912,4000,4086,3249,50.5,1778,435,446,835,676,622,892,474,27250,1,0,0,0
C31,Hing Man,13602,6205,1073,3856,4313,3480,51.3,1322,534,522,842,855,689,663,349,23020,1,0,0,0
C32,Lok Hong,11995,5313,737,3181,4584,2456,50.4,2775,613,142,415,519,469,915,1023,35630,1,0,0,0
C33,Tsui Tak,12740,5806,802,3618,4446,2556,48.6,3253,410,188,590,677,502,866,1323,38080,1,0,0,0
C34,Yue Wan,16169,7442,1753,3830,5669,3461,49.1,1833,527,682,1531,1167,598,825,591,21210,1,0,0,0
C35,Kai Hiu,12271,5631,913,3451,4114,2857,51.4,1425,404,275,759,777,671,535,631,26710,1,0,0,0
D01,Aberdeen,19459,8774,1276,5449,6540,3832,46.8,3686,724,415,873,913,938,1384,1578,34070,1,0,0,0
D02,Ap Lei Chau Estate,12089,5500,725,2985,3889,3561,51.3,694,381,434,1332,780,622,597,208,20040,1,0,0,0
D03,Ap Lei Chau North,11897,5439,741,3738,4246,1709,45,3251,352,160,566,738,544,729,1282,35090,1,0,0,0
D04,Lei Tung I,12307,5573,693,3807,4160,2443,47.9,2608,403,199,565,691,615,654,1047,33820,1,0,0,0
D05,Lei Tung II,14043,6621,391,3855,4239,4737,56.3,1532,594,647,1437,882,641,781,445,20040,1,0,0,0
D06,South Horizons East,14444,6077,1286,3772,5316,2342,46.7,6255,361,128,371,356,237,683,2535,64840,1,0,0,0
D07,South Horizons West,14947,6456,1331,4093,5130,2491,46,5597,460,147,294,239,415,555,2418,64840,1,0,0,0
D08,Wah Kwai,13309,6079,948,3270,4868,3503,54.8,1870,594,443,911,1090,742,584,531,25160,1,0,0,0
D09,Wah Fu South,12411,5834,962,2916,3892,3612,51.9,1098,567,545,1139,844,678,645,211,20040,1,0,0,0
D10,Wah Fu North,13864,6484,1210,3553,4551,3279,49.6,1544,397,566,915,993,766,621,343,23040,1,0,0,0
D11,Pokfulam,19775,7536,1513,6163,5925,3128,42.7,7981,231,142,304,303,188,458,3419,115140,1,0,0,0
D12,Chi Fu,15599,6655,1086,4426,5091,3766,50.1,5146,648,490,668,464,655,811,1907,38750,1,0,0,0
D13,Tin Wan,16811,7742,1166,4316,5255,4175,48.7,2105,567,586,1200,1243,766,884,750,23750,1,0,0,0
D14,Shek Yue,17621,8295,1647,4170,6143,4659,52.7,1513,797,784,1591,936,935,810,428,19830,1,0,0,0
D15,Wong Chuk Hang,16316,7044,1152,3752,5559,4535,51.3,3208,544,254,626,538,741,826,1234,34490,1,0,0,0
D16,Bays Area,17703,6336,923,5801,5706,2469,43.3,7214,400,122,256,146,195,237,2976,133910,1,0,0,0
D17,Stanley & Shek O,20683,9794,1792,6331,7466,2567,44.2,5407,342,211,671,651,491,1097,2481,50050,1,0,0,0
E01,Tsim Sha Tsui West,11515,5415,760,4227,3553,1890,43.7,4275,707,282,690,599,324,662,1571,32040,0,1,0,0
E02,Kowloon Station,15627,6313,993,5424,5104,1693,41.2,6416,407,114,278,279,251,491,3175,89420,0,1,0,0
E03,Jordan West,15528,7306,1381,4776,4204,3484,44.4,3040,868,637,1528,1113,615,650,906,21290,0,1,0,0
E04,Yau Ma Tei South,17750,8127,1416,5339,5415,3612,45.5,3063,1113,550,1675,891,760,853,1205,20830,0,1,0,0
E05,Charming,16172,7483,1509,3831,6016,3094,47.9,3995,692,258,964,626,724,980,1455,33100,0,1,0,0
E06,Mong Kok West,15691,7094,1033,5215,4679,2667,43.1,2411,1127,418,1774,1385,808,786,486,20040,0,1,0,0
E07,Fu Pak,18266,7922,1629,4823,6360,3263,46.8,4927,475,405,1072,850,625,903,1781,33050,0,1,0,0
E08,Olympic,19373,7971,918,7989,4942,2074,39.1,8914,327,94,490,326,250,806,4442,84320,0,1,0,0
E09,Cherry,14818,6791,1022,5180,3969,2679,42.1,3931,779,370,946,857,627,862,1491,30040,0,1,0,0
E10,Tai Kok Tsui South,14275,6733,690,4566,4013,3749,48.1,2658,771,447,1106,990,683,862,905,24610,0,1,0,0
E11,Tai Kok Tsui North,19526,8893,1800,6466,6131,2599,42.4,4987,710,545,1289,978,809,1435,1881,32630,0,1,0,0
E12,Tai Nan,19040,8358,1375,6261,5674,3541,43.9,3564,1350,515,1676,1304,825,838,1276,22220,0,1,0,0
E13,Mong Kok North,16915,7484,1772,4945,5075,3337,44.8,2756,1024,704,2456,949,633,912,720,17900,0,1,0,0
E14,Mong Kok East,14235,6079,943,4068,4394,3486,48.6,2901,1070,571,1259,843,438,926,926,20180,0,1,0,0
E15,Mong Kok South,16126,7416,1275,5363,4859,3084,44.5,3056,1202,759,1520,1354,1000,663,753,20140,0,1,0,0
E16,Yau Ma Tei North,11894,5605,645,3676,3708,2697,47.6,2828,777,435,940,1020,522,677,733,23140,0,1,0,0
E17,East Tsim Sha Tsui & King's Park,14845,6481,1423,5474,4531,1921,42.5,6620,533,348,649,455,449,876,2475,47000,0,1,0,0
E18,Jordan North,14633,6943,1007,4946,4544,2318,42.6,1976,673,551,1750,1597,608,588,426,20140,0,1,0,0
E19,Jordan South,11376,4991,714,3710,3508,2426,46.3,2922,545,313,1012,807,505,606,961,25080,0,1,0,0
E20,Tsim Sha Tsui Central,13042,5468,919,4598,4118,1954,43.2,3665,930,233,1323,571,437,842,1208,25640,0,1,0,0
F01,Po Lai,17262,8154,1563,4749,5892,3161,45.9,2338,690,787,1743,1466,997,956,489,22500,0,1,0,0
F02,Cheung Sha Wan,14966,6754,1089,4433,4699,3193,47,2778,791,404,1406,900,643,1054,897,25060,0,1,0,0
F03,Nam Cheong North,16888,8107,1746,5146,5534,2893,44.7,2194,1224,576,2167,1317,768,735,517,18320,0,1,0,0
