code,district,2016_dem_votes,2019_dem_votes,imputed_2016
A01,Chung Wan,0.5369,0.55,0.5369
A02,Mid Levels East,0.5092,0.57,0.5092
A03,Castle Road,0.5264,0.51,0.5264
A04,Peak,0.1472,0.31,0.1472
A05,University,0.4410,0.53,0.441
A06,Kwun Lung,0.3865,0.53,0.3865
A07,Kennedy Town & Mount Davis,0.5067,0.59,0.5067
A08,Sai Wan,0.4855,0.57,0.4855
A09,Belcher,0.4927,0.53,0.4927
A10,Shek Tong Tsui,0.4131,0.55,0.4131
A11,Sai Ying Pun,0.4021,0.55,0.4021
A12,Sheung Wan,0.5165,0.59,0.5165
A13,Tung Wah,0.4202,0.61,0.4202
A14,Centre Street,0.4950,0.59,0.495
A15,Water Street,0.4630,0.6,0.463
B01,Hennessy,0.6766,0.68,0.6766
B02,Oi Kwan,0.4010,0.57,0.401
B03,Canal Road,0.4153,0.58,0.4153
B04,Causeway Bay,0.0000,0.55,0.414063636
B05,Victoria Park,0.0000,0.54,0.414063636
B06,Tin Hau,0.3135,0.52,0.3135
B07,Tai Hang,0.5491,0.62,0.5491
B08,Jardine's Lookout,0.4261,0.41,0.4261
B09,Broadwood,0.4444,0.47,0.4444
B10,Happy Valley,0.3953,0.54,0.3953
B11,Stubbs Road,0.3583,0.45,0.3583
B12,Southorn,0.2300,0.48,0.23
B13,Tai Fat Hau,0.3451,0.51,0.3451
C01,Tai Koo Shing West,0.7261,0.63,0.7261
C02,Tai Koo Shing East,0.5083,0.61,0.5083
C03,Lei King Wan,0.3368,0.57,0.3368
C04,Sai Wan Ho,0.5318,0.63,0.5318
C05,Aldrich Bay,0.4689,0.54,0.4689
C06,Shaukeiwan,0.5154,0.63,0.5154
C07,A Kung Ngam,0.3673,0.53,0.3673
C08,Heng Fa Chuen,0.3226,0.56,0.3226
C09,Tsui Wan,0.3815,0.56,0.3815
C10,Yan Lam,0.0000,0.52,0.449066667
C11,Siu Sai Wan,0.3078,0.54,0.3078
C12,King Yee,0.1744,0.57,0.1744
C13,Wan Tsui,0.3920,0.54,0.392
C14,Fei Tsui,0.5747,0.57,0.5747
C15,Mount Parker,0.0000,0.48,0.449066667
C16,Braemar Hill,0.0000,0.45,0.449066667
C17,Fortress Hill,0.0000,0.58,0.449066667
C18,City Garden,0.0000,0.47,0.449066667
C19,Provident,0.0000,0.49,0.449066667
C20,Fort Street,0.0000,0.51,0.449066667
C21,Kam Ping,0.0000,0.51,0.449066667
C22,Tanner,0.5342,0.58,0.5342
C23,Healthy Village,0.0000,0.53,0.449066667
C24,Quarry Bay,0.3788,0.55,0.3788
C25,Nam Fung,0.7412,0.65,0.7412
C26,Kornhill,0.5120,0.59,0.512
C27,Kornhill Garden,0.5679,0.59,0.5679
C28,Hing Tung,0.4590,0.58,0.459
C29,Lower Yiu Tung,0.2694,0.61,0.2694
C30,Upper Yiu Tung,0.0000,0.53,0.449066667
C31,Hing Man,0.3603,0.51,0.3603
C32,Lok Hong,0.4571,0.56,0.4571
C33,Tsui Tak,0.2940,0.53,0.294
C34,Yue Wan,0.5210,0.59,0.521
C35,Kai Hiu,0.0000,0.49,0.449066667
D01,Aberdeen,0.3648,0.62,0.3648
D02,Ap Lei Chau Estate,0.0000,0.49,0.473807143
D03,Ap Lei Chau North,0.3267,0.62,0.3267
D04,Lei Tung I,0.6419,0.63,0.6419
D05,Lei Tung II,0.5886,0.63,0.5886
D06,South Horizons East,0.5328,0.53,0.5328
D07,South Horizons West,0.4326,0.56,0.4326
D08,Wah Kwai,0.5044,0.59,0.5044
D09,Wah Fu South,0.4995,0.56,0.4995
D10,Wah Fu North,0.5360,0.61,0.536
D11,Pokfulam,0.6305,0.56,0.6305
D12,Chi Fu,0.4459,0.61,0.4459
D13,Tin Wan,0.0000,0.62,0.473807143
D14,Shek Yue,0.0000,0.56,0.473807143
D15,Wong Chuk Hang,0.5471,0.58,0.5471
D16,Bays Area,0.3312,0.3,0.3312
D17,Stanley & Shek O,0.2513,0.5,0.2513
